Thematic Group	English Translation	Polish Adverb	Base Adjective Origin
Manner & Quality	Well	dobrze	dobry
Manner & Quality	Badly	źle	zły
Manner & Quality	Beautifully	pięknie	piękny
Manner & Quality	Uglily	brzydko	brzydki
Manner & Quality	Nicely / pleasantly	miło	miły
Manner & Quality	Fast / quickly	szybko	szybki
Manner & Quality	Slowly	wolno	wolny
Manner & Quality	Wisely	mądrze	mądry
Manner & Quality	Stupidly	głupio	głupi
Manner & Quality	Politely	grzecznie	grzeczny
Manner & Quality	Honestly	uczciwie	uczciwy
Manner & Quality	Seriously	poważnie	poważny
Manner & Quality	Quietly	cicho	cichy
Manner & Quality	Loudly	głośno	głośny
Manner & Quality	Easily	łatwo	łatwy
Manner & Quality	Difficultly / with difficulty	trudno	trudny
Time & Frequency	Always	zawsze	n/a (pure adverb)
Time & Frequency	Never	nigdy	n/a (pure adverb)
Time & Frequency	Often	często	częsty
Time & Frequency	Rarely / seldom	rzadko	rzadki
Time & Frequency	Usually	zwykle	zwykły
Time & Frequency	Early	wcześnie	wczesny
Time & Frequency	Late	późno	późny
Time & Frequency	Suddenly	nagle	nagły
Time & Frequency	Sometimes	czasami	n/a (pure adverb)
Time & Frequency	Currently	aktualnie	aktualny
Time & Frequency	Recently	ostatnio	ostatni
Time & Frequency	Immediately	natychmiast	n/a (pure adverb)
Time & Frequency	Everyday	codziennie	
Time & Frequency	Once a week	raz w tygodniv	
Time & Frequency	Once a month	raz w miesiącn	
Place & Direction	Everywhere	wszędzie	n/a (pure adverb)
Place & Direction	Nowhere	nigdzie	n/a (pure adverb)
Place & Direction	Far	daleko	daleki
Place & Direction	Near / close	blisko	bliski
Place & Direction	High up	wysoko	wysoki
Place & Direction	Low down	nisko	niski
Place & Direction	Straight ahead	prosto	prosty
Place & Direction	Inside	w środku	n/a (prepositional phrase)
Place & Direction	Outside	na zewnątrz	n/a (prepositional phrase)
Degree & Quantity	Very	bardzo	n/a (pure adverb)
Degree & Quantity	Too (excessively)	za	n/a (pure adverb)
Degree & Quantity	Enough	wystarczająco	wystarczający
Degree & Quantity	Little / not much	mało	mały
Degree & Quantity	Much / a lot	dużo	duży
Degree & Quantity	Completely	całkowicie	całkowity
Degree & Quantity	Partially	częściowo	częściowy
Degree & Quantity	Hardly / barely	ledwo	n/a (pure adverb)
Official & Formal	Officially	oficjalnie	oficjalny
Official & Formal	Legally	legalnie	legalny
Official & Formal	Modernly	nowocześnie	nowoczesny
Official & Formal	Traditionally	tradycyjnie	tradycyjny
Official & Formal	Publicly	publicznie	publiczny
Official & Formal	Privately	prywatnie	prywatny
Sensory & Physical	Tastily / deliciously	smacznie	smaczny
Sensory & Physical	Freshly	świeżo	świeży
Sensory & Physical	Sharply / spicy	ostro	ostry
Sensory & Physical	Sweetly	słodko	słodki
Sensory & Physical	Warmly	ciepło	ciepły
Sensory & Physical	Coldly	zimno	zimny
