Thematic Group	English Translation	Polish Noun	Gender Category
Places	School	szkoła	Feminine
Places	Office	biuro	Neuter
Places	Restaurant	restauracja	Feminine
Places	City / town	miasto	Neuter
Places	Store / shop	sklep	Masculine Inanimate
Places	Hospital	szpital	Masculine Inanimate
Places	Hotel	hotel	Masculine Inanimate
Places	Airport	lotnisko	Neuter
Places	Park	park	Masculine Inanimate
Countries	Poland	Polska	Feminine
Countries	England	Anglia	Feminine
Countries	Germany	Niemcy	Masculine Inanimate
Countries	United States	Stany Zjednoczone	Masculine Inanimate
Countries	France	Francja	Feminine
Countries	Spain	Hiszpania	Feminine
Countries	Italy	Włochy	Masculine Inanimate
Family members	Mother	matka	Feminine
Family members	Father	ojciec	Masculine Personal
Family members	Son	syn	Masculine Personal
Family members	Daughter	córka	Feminine
Family members	Brother	brat	Masculine Personal
Family members	Sister	siostra	Feminine
Family members	Husband	mąż	Masculine Personal
Family members	Wife	żona	Feminine
Family members	Child	dziecko	Neuter
People	Passenger	pasażer	Masculine Personal
People	Guest	gość	Masculine Personal
People	Man	mężczyzna	Masculine Personal
People	Woman	kobieta	Feminine
People	Friend	przyjaciel	Masculine Personal
People	Student	student	Masculine Personal
People	Colleague	kolega	Masculine Personal
People	Human	człowiek	Masculine Personal
Hobby nouns	Sport	sport	Masculine Inanimate
Hobby nouns	Film / movie	film	Masculine Inanimate
Hobby nouns	Game	gra	Feminine
Hobby nouns	Book	książka	Feminine
Hobby nouns	Music	muzyka	Feminine
Hobby nouns	Hobby	hobby	Neuter
Hobby nouns	Travel	podróż	Feminine
Hobby nouns	Photograph	zdjęcie	Neuter
Animals	Horse	koń	Masculine Animal
Animals	Bird	ptak	Masculine Animal
Animals	Cow	krowa	Feminine
Animals	Dog	pies	Masculine Animal
Animals	Cat	kot	Masculine Animal
Animals	Fish	ryba	Feminine
Animals	Mouse	mysz	Feminine
Household items	Table	stół	Masculine Inanimate
Household items	Chair	krzesło	Neuter
Household items	Bed	łóżko	Neuter
Household items	Window	okno	Neuter
Household items	Door	drzwi	Feminine
Household items	Key	klucz	Masculine Inanimate
Household items	Furniture	meble	Masculine Inanimate
Electronics	Computer	komputer	Masculine Inanimate
Electronics	Television	telewizor	Masculine Inanimate
Electronics	Camera	aparat	Masculine Inanimate
Electronics	Phone	telefon	Masculine Inanimate
Electronics	Radio	radio	Neuter
Electronics	Printer	drukarka	Feminine
Electronics	Screen	ekran	Masculine Inanimate
Times	Second	sekunda	Feminine
Times	Minute	minuta	Feminine
Times	Hour	godzina	Feminine
Times	Week	tydzień	Masculine Inanimate
Times	Month	miesiąc	Masculine Inanimate
Times	Year	rok	Masculine Inanimate
Times	Future	przyszłość	Feminine
Times	Time	Czas	Masculine Inanimate
Days	Monday	poniedziałek	Masculine Inanimate
Days	Tuesday	wtorek	Masculine Inanimate
Days	Wednesday	środa	Feminine
Days	Thursday	czwartek	Masculine Inanimate
Days	Friday	piątek	Masculine Inanimate
Days	Saturday	sobota	Feminine
Days	Sunday	niedziela	Feminine
Days	Weekend	weekend	Masculine Inanimate
Days	Holiday / day off	urlop	Masculine Inanimate
Months	January	styczeń	Masculine Inanimate
Months	February	luty	Masculine Inanimate
Months	March	marzec	Masculine Inanimate
Months	April	kwiecień	Masculine Inanimate
