Front,Back,Tags
"Translate trzeba
Conjugate it in the present tense:

Ja:
Ty:
On/ona/ono:
My:
Wy:
Oni/one:","It is necessary:: Ja: -, Ty: -, On/ona/ono: trzeba, My: -, Wy: -, Oni/one: -",verb active_recall impersonal full_paradigm
"Translate można
Conjugate it in the present tense:

Ja:
Ty:
On/ona/ono:
My:
Wy:
Oni/one:","It is allowed:: Ja: -, Ty: -, On/ona/ono: można, My: -, Wy: -, Oni/one: -",verb active_recall impersonal full_paradigm
"Translate musieć
Conjugate it in the present tense:

Ja:
Ty:
On/ona/ono:
My:
Wy:
Oni/one:","Must:: Ja: muszę, Ty: musisz, On/ona/ono: musi, My: musimy, Wy: musicie, Oni/one: muszą",verb active_recall C3 full_paradigm
"Translate spotykać
Conjugate it in the present tense:

Ja:
Ty:
On/ona/ono:
My:
Wy:
Oni/one:","Meet:: Ja: spotykam, Ty: spotykasz, On/ona/ono: spotyka, My: spotykamy, Wy: spotykacie, Oni/one: spotykają",verb active_recall C1 full_paradigm
"Translate oglądać
Conjugate it in the present tense:

Ja:
Ty:
On/ona/ono:
My:
Wy:
Oni/one:","Watch:: Ja: oglądam, Ty: oglądasz, On/ona/ono: ogląda, My: oglądamy, Wy: oglądacie, Oni/one: oglądają",verb active_recall C1 full_paradigm
"Translate potrzebować
Conjugate it in the present tense:

Ja:
Ty:
On/ona/ono:
My:
Wy:
Oni/one:","Need:: Ja: potrzebuję, Ty: potrzebujesz, On/ona/ono: potrzebuje, My: potrzebujemy, Wy: potrzebujecie, Oni/one: potrzebują",verb active_recall C4 full_paradigm
"Translate czekać
Conjugate it in the present tense:

Ja:
Ty:
On/ona/ono:
My:
Wy:
Oni/one:","Wait:: Ja: czekam, Ty: czekasz, On/ona/ono: czeka, My: czekamy, Wy: czekacie, Oni/one: czekają",verb active_recall C1 full_paradigm
"Translate mieszkać
Conjugate it in the present tense:

Ja:
Ty:
On/ona/ono:
My:
Wy:
Oni/one:","Mieszkań:: Ja: mieszkam, Ty: mieszkasz, On/ona/ono: mieszka, My: mieszkamy, Wy: mieszkacie, Oni/one: mieszkają",verb active_recall C1 full_paradigm
"Translate sprzątać
Conjugate it in the present tense:

Ja:
Ty:
On/ona/ono:
My:
Wy:
Oni/one:","Clean:: Ja: sprzątam, Ty: sprzątasz, On/ona/ono: sprząta, My: sprzątamy, Wy: sprzatacie, Oni/one: sprzątają",verb active_recall C1 full_paradigm
"Translate odpowiadać
Conjugate it in the present tense:

Ja:
Ty:
On/ona/ono:
My:
Wy:
Oni/one:","Answer:: Ja: odpowiadam, Ty: odpowiadasz, On/ona/ono: odpowiada, My: odpowiadamy, Wy: odpowiadacie, Oni/one: odpowiadają",verb active_recall C1 full_paradigm
"Translate znać
Conjugate it in the present tense:

Ja:
Ty:
On/ona/ono:
My:
Wy:
Oni/one:","Know person:: Ja: znam, Ty: znasz, On/ona/ono: zna, My: znamy, Wy: znacie, Oni/one: znają",verb active_recall C1 full_paradigm
"Translate patrzeć
Conjugate it in the present tense:

Ja:
Ty:
On/ona/ono:
My:
Wy:
Oni/one:","Look:: Ja: patrzę, Ty: patrzysz, On/ona/ono: patrzy, My: patrzymy, Wy: patrzycie, Oni/one: patrzą",verb active_recall C3 full_paradigm
"Translate interesować się
Conjugate it in the present tense:

Ja:
Ty:
On/ona/ono:
My:
Wy:
Oni/one:","Take interest:: Ja: interesuję się, Ty: interesujesz się, On/ona/ono: interesuje się, My: interesujemy się, Wy: interesujecie się, Oni/one: interesują się",verb active_recall C4 full_paradigm
"Translate potrafić
Conjugate it in the present tense:

Ja:
Ty:
On/ona/ono:
My:
Wy:
Oni/one:","Know how to:: Ja: potrafię, Ty: potrafisz, On/ona/ono: potrafi, My: potrafimy, Wy: potraficie, Oni/one: potrafią",verb active_recall C1 full_paradigm
"Translate pracować
Conjugate it in the present tense:

Ja:
Ty:
On/ona/ono:
My:
Wy:
Oni/one:","Work:: Ja: pracuję, Ty: pracujesz, On/ona/ono: pracuje, My: pracujemy, Wy: pracujecie, Oni/one: pracują",verb active_recall C4 full_paradigm
"Translate otwierać
Conjugate it in the present tense:

Ja:
Ty:
On/ona/ono:
My:
Wy:
Oni/one:","Open:: Ja: otwieram, Ty: otwierasz, On/ona/ono: otwiera, My: otwieramy, Wy: otwieracie, Oni/one: otwierają",verb active_recall C1 full_paradigm
"Translate proponować
Conjugate it in the present tense:

Ja:
Ty:
On/ona/ono:
My:
Wy:
Oni/one:","Propose:: Ja: proponuję, Ty: proponujesz, On/ona/ono: proponuje, My: proponujemy, Wy: proponujecie, Oni/one: proponują",verb active_recall C4 full_paradigm
"Translate zamierzać
Conjugate it in the present tense:

Ja:
Ty:
On/ona/ono:
My:
Wy:
Oni/one:","Intend:: Ja: zamierzam, Ty: zamierzasz, On/ona/ono: zamierza, My: zamierzamy, Wy: zamierzacie, Oni/one: zamierzają",verb active_recall C1 full_paradigm
"Translate wyjechać
Conjugate it in the present tense:

Ja:
Ty:
On/ona/ono:
My:
Wy:
Oni/one:","Drive out of:: Ja: wyjadę, Ty: wyjedziesz, On/ona/ono: wyjedzie, My: wyjedziemy, Wy: wyjedziecie, Oni/one: wyjadą",verb active_recall C4 full_paradigm
