Front,Back,Tags
problem,Problem,noun active_recall Abstract concepts & state Masculine Inanimate
krowa,Cow,noun active_recall Animals Feminine
Polska,Poland,noun active_recall Countries Feminine
żona,Wife,noun active_recall Family members Feminine
gazeta,Newspaper / press,noun active_recall Leisure & culture Feminine
Translate: This Friday,ten piątek,noun active_recall Days Masculine Inanimate recognition
kawa,Coffee,noun active_recall Foods Feminine
samochód,Car,noun active_recall Transport Masculine Inanimate
Translate: This September,ten wrzesień,noun active_recall Months Masculine Inanimate recognition
Translate: This Travel,ta podróż,noun active_recall Hobby nouns Feminine recognition
buty,Shoes,noun active_recall Clothes Masculine Inanimate
Translate: This City / town,to miasto,noun active_recall Places Neuter recognition
Translate: This Eye,to oko,noun active_recall Body parts Neuter recognition
Translate: This May,ten maj,noun active_recall Months Masculine Inanimate recognition
Translate: This Saturday,ta sobota,noun active_recall Days Feminine recognition
Translate: This Park,ten park,noun active_recall Places Masculine Inanimate recognition
fryzjer,Hairdresser,noun active_recall Jobs Masculine Personal
Translate: This Man,ten mężczyzna,noun active_recall People Masculine Personal recognition
Translate: This Dress,ta sukienka,noun active_recall Clothes Feminine recognition
torba,Bag,noun active_recall Shopping items Feminine
prawo,Law,noun active_recall Abstract concepts & state Neuter
paragon,Receipt,noun active_recall Shopping items Masculine Inanimate
deszcz,Rain,noun active_recall Weather & Nature Masculine Inanimate
Translate: This Science / knowledge,ta nauka,noun active_recall Education & science Feminine recognition
czerwiec,June,noun active_recall Months Masculine Inanimate
koń,Horse,noun active_recall Animals Masculine Animal
Francja,France,noun active_recall Countries Feminine
Translate: This Money,ten pieniądze,noun active_recall Shopping items Masculine Inanimate recognition
koncert,Concert,noun active_recall Leisure & culture Masculine Inanimate
rachunek,Bill / invoice,noun active_recall Shopping items Masculine Inanimate
czwartek,Thursday,noun active_recall Days Masculine Inanimate
Translate: This Bed,to łóżko,noun active_recall Household items Neuter recognition
Translate: This History,ta historia,noun active_recall Education & science Feminine recognition
Translate: This Pharmacy,ta apteka,noun active_recall Jobs Feminine recognition
Translate: This Tree,to drzewo,noun active_recall Weather & Nature Neuter recognition
inżynier,Engineer,noun active_recall Jobs Masculine Personal
sierpień,August,noun active_recall Months Masculine Inanimate
Translate: This Ticket,ten bilet,noun active_recall Transport Masculine Inanimate recognition
Translate: This Engineer,ten inżynier,noun active_recall Jobs Masculine Personal recognition
ucho,Ear,noun active_recall Body parts Neuter
lekarz,Doctor,noun active_recall Jobs Masculine Personal
Translate: This Friend,ten przyjaciel,noun active_recall People Masculine Personal recognition
Translate: This Door,ta drzwi,noun active_recall Household items Feminine recognition
mięso,Meat,noun active_recall Foods Neuter
