Front,Back,Tags
Translate: uczciwie,honestly,adverb active_recall theme::Manner_&_Quality recognition
Translate: recently,ostatnio,adverb active_recall theme::Time_&_Frequency
Translate: honestly,uczciwie,adverb active_recall theme::Manner_&_Quality
Translate: aktualnie,currently,adverb active_recall theme::Time_&_Frequency recognition
Translate: immediately,natychmiast,adverb active_recall theme::Time_&_Frequency
Translate: partially,częściowo,adverb active_recall theme::Degree_&_Quantity
Translate: codziennie,everyday,adverb active_recall theme::Time_&_Frequency recognition
Translate: ledwo,hardly / barely,adverb active_recall theme::Degree_&_Quantity recognition
Translate: częściowo,partially,adverb active_recall theme::Degree_&_Quantity recognition
Translate: far,daleko,adverb active_recall theme::Place_&_Direction
Translate: łatwo,easily,adverb active_recall theme::Manner_&_Quality recognition
Translate: seriously,poważnie,adverb active_recall theme::Manner_&_Quality
Translate: outside,na zewnątrz,adverb active_recall theme::Place_&_Direction
Translate: privately,prywatnie,adverb active_recall theme::Official_&_Formal
Translate: early,wcześnie,adverb active_recall theme::Time_&_Frequency
Translate: w środku,inside,adverb active_recall theme::Place_&_Direction recognition
Translate: everywhere,wszędzie,adverb active_recall theme::Place_&_Direction
Translate: nigdzie,nowhere,adverb active_recall theme::Place_&_Direction recognition
Translate: dużo,much / a lot,adverb active_recall theme::Degree_&_Quantity recognition
Translate: wolno,slowly,adverb active_recall theme::Manner_&_Quality recognition
Translate: loudly,głośno,adverb active_recall theme::Manner_&_Quality
Translate: grzecznie,politely,adverb active_recall theme::Manner_&_Quality recognition
Translate: daleko,far,adverb active_recall theme::Place_&_Direction recognition
Translate: oficjalnie,officially,adverb active_recall theme::Official_&_Formal recognition
Translate: legally,legalnie,adverb active_recall theme::Official_&_Formal
Translate: sharply / spicy,ostro,adverb active_recall theme::Sensory_&_Physical
Translate: everyday,codziennie,adverb active_recall theme::Time_&_Frequency
Translate: officially,oficjalnie,adverb active_recall theme::Official_&_Formal
Translate: tradycyjnie,traditionally,adverb active_recall theme::Official_&_Formal recognition
Translate: inside,w środku,adverb active_recall theme::Place_&_Direction
Translate: pięknie,beautifully,adverb active_recall theme::Manner_&_Quality recognition
Translate: publicznie,publicly,adverb active_recall theme::Official_&_Formal recognition
Translate: zimno,coldly,adverb active_recall theme::Sensory_&_Physical recognition
Translate: prywatnie,privately,adverb active_recall theme::Official_&_Formal recognition
Translate: bardzo,very,adverb active_recall theme::Degree_&_Quantity recognition
Translate: mało,little / not much,adverb active_recall theme::Degree_&_Quantity recognition
Translate: rzadko,rarely / seldom,adverb active_recall theme::Time_&_Frequency recognition
Translate: publicly,publicznie,adverb active_recall theme::Official_&_Formal
Translate: zwykle,usually,adverb active_recall theme::Time_&_Frequency recognition
Translate: poważnie,seriously,adverb active_recall theme::Manner_&_Quality recognition
Translate: once a month,raz w miesiącn,adverb active_recall theme::Time_&_Frequency
Translate: hardly / barely,ledwo,adverb active_recall theme::Degree_&_Quantity
Translate: słodko,sweetly,adverb active_recall theme::Sensory_&_Physical recognition
Translate: badly,źle,adverb active_recall theme::Manner_&_Quality
Translate: straight ahead,prosto,adverb active_recall theme::Place_&_Direction
Translate: easily,łatwo,adverb active_recall theme::Manner_&_Quality
Translate: mądrze,wisely,adverb active_recall theme::Manner_&_Quality recognition
Translate: nagle,suddenly,adverb active_recall theme::Time_&_Frequency recognition
Translate: wcześnie,early,adverb active_recall theme::Time_&_Frequency recognition
Translate: ciepło,warmly,adverb active_recall theme::Sensory_&_Physical recognition
Translate: once a week,raz w tygodniv,adverb active_recall theme::Time_&_Frequency
Translate: late,późno,adverb active_recall theme::Time_&_Frequency
Translate: sweetly,słodko,adverb active_recall theme::Sensory_&_Physical
Translate: legalnie,legally,adverb active_recall theme::Official_&_Formal recognition
Translate: freshly,świeżo,adverb active_recall theme::Sensory_&_Physical
Translate: suddenly,nagle,adverb active_recall theme::Time_&_Frequency
Translate: prosto,straight ahead,adverb active_recall theme::Place_&_Direction recognition
Translate: tastily / deliciously,smacznie,adverb active_recall theme::Sensory_&_Physical
Translate: natychmiast,immediately,adverb active_recall theme::Time_&_Frequency recognition
Translate: nisko,low down,adverb active_recall theme::Place_&_Direction recognition
Translate: głupio,stupidly,adverb active_recall theme::Manner_&_Quality recognition
Translate: warmly,ciepło,adverb active_recall theme::Sensory_&_Physical
Translate: za,too (excessively),adverb active_recall theme::Degree_&_Quantity recognition
Translate: czasami,sometimes,adverb active_recall theme::Time_&_Frequency recognition
Translate: enough,wystarczająco,adverb active_recall theme::Degree_&_Quantity
Translate: well,dobrze,adverb active_recall theme::Manner_&_Quality
Translate: beautifully,pięknie,adverb active_recall theme::Manner_&_Quality
Translate: difficultly / with difficulty,trudno,adverb active_recall theme::Manner_&_Quality
Translate: too (excessively),za,adverb active_recall theme::Degree_&_Quantity
Translate: miło,nicely / pleasantly,adverb active_recall theme::Manner_&_Quality recognition
Translate: nigdy,never,adverb active_recall theme::Time_&_Frequency recognition
Translate: completely,całkowicie,adverb active_recall theme::Degree_&_Quantity
Translate: much / a lot,dużo,adverb active_recall theme::Degree_&_Quantity
Translate: ostro,sharply / spicy,adverb active_recall theme::Sensory_&_Physical recognition
Translate: na zewnątrz,outside,adverb active_recall theme::Place_&_Direction recognition
Translate: raz w tygodniv,once a week,adverb active_recall theme::Time_&_Frequency recognition
Translate: politely,grzecznie,adverb active_recall theme::Manner_&_Quality
Translate: całkowicie,completely,adverb active_recall theme::Degree_&_Quantity recognition
Translate: wisely,mądrze,adverb active_recall theme::Manner_&_Quality
Translate: dobrze,well,adverb active_recall theme::Manner_&_Quality recognition
Translate: nowhere,nigdzie,adverb active_recall theme::Place_&_Direction
Translate: smacznie,tastily / deliciously,adverb active_recall theme::Sensory_&_Physical recognition
Translate: very,bardzo,adverb active_recall theme::Degree_&_Quantity
Translate: głośno,loudly,adverb active_recall theme::Manner_&_Quality recognition
Translate: usually,zwykle,adverb active_recall theme::Time_&_Frequency
Translate: little / not much,mało,adverb active_recall theme::Degree_&_Quantity
Translate: rarely / seldom,rzadko,adverb active_recall theme::Time_&_Frequency
Translate: wszędzie,everywhere,adverb active_recall theme::Place_&_Direction recognition
Translate: traditionally,tradycyjnie,adverb active_recall theme::Official_&_Formal
Translate: cicho,quietly,adverb active_recall theme::Manner_&_Quality recognition
Translate: always,zawsze,adverb active_recall theme::Time_&_Frequency
Translate: high up,wysoko,adverb active_recall theme::Place_&_Direction
Translate: sometimes,czasami,adverb active_recall theme::Time_&_Frequency
Translate: never,nigdy,adverb active_recall theme::Time_&_Frequency
Translate: ostatnio,recently,adverb active_recall theme::Time_&_Frequency recognition
Translate: modernly,nowocześnie,adverb active_recall theme::Official_&_Formal
Translate: slowly,wolno,adverb active_recall theme::Manner_&_Quality
Translate: coldly,zimno,adverb active_recall theme::Sensory_&_Physical
Translate: brzydko,uglily,adverb active_recall theme::Manner_&_Quality recognition
Translate: low down,nisko,adverb active_recall theme::Place_&_Direction
Translate: źle,badly,adverb active_recall theme::Manner_&_Quality recognition
Translate: blisko,near / close,adverb active_recall theme::Place_&_Direction recognition
Translate: uglily,brzydko,adverb active_recall theme::Manner_&_Quality
Translate: trudno,difficultly / with difficulty,adverb active_recall theme::Manner_&_Quality recognition
Translate: stupidly,głupio,adverb active_recall theme::Manner_&_Quality
Translate: nowocześnie,modernly,adverb active_recall theme::Official_&_Formal recognition
