Thematic Group	English Translation	Polish Adjective	Feminine Singular Form	Neuter Singular Form
Descriptions & Sizes	Big / large	duży	duża	duże
Descriptions & Sizes	Small	mały	mała	małe
Descriptions & Sizes	Tall / high	wysoki	wysoka	wysokie
Descriptions & Sizes	Short / low	niski	niska	niskie
Descriptions & Sizes	Long	długi	długa	długie
Descriptions & Sizes	Short (length)	krótki	krótka	krótkie
Descriptions & Sizes	New	nowy	nowa	nowe
Descriptions & Sizes	Old	stary	stara	stare
Descriptions & Sizes	Wide	szeroki	szeroka	szerokie
Descriptions & Sizes	Narrow	wąski	wąska	wąskie
Descriptions & Sizes	Heavy	ciężki	ciężka	ciężkie
Descriptions & Sizes	Light (weight)	lekki	lekka	lekkie
Opinions & Feelings	Good	dobry	dobra	dobre
Opinions & Feelings	Bad	zły	zła	złe
Opinions & Feelings	Beautiful	piękny	piękna	piękne
Opinions & Feelings	Ugly	brzydki	brzydka	brzydkie
Opinions & Feelings	Interesting	ciekawy	ciekawa	ciekawe
Opinions & Feelings	Boring	nudny	nudna	nudne
Opinions & Feelings	Important	ważny	ważna	ważne
Opinions & Feelings	Nice / pleasant	miły	miła	miłe
Opinions & Feelings	Dangerous	niebezpieczny	niebezpieczna	niebezpieczne
Opinions & Feelings	Safe	bezpieczny	bezpieczna	bezpieczne
Colors	Black	czarny	czarna	czarne
Colors	White	biały	biała	białe
Colors	Red	czerwony	czerwona	czerwone
Colors	Blue	niebieski	niebieska	niebieskie
Colors	Green	zielony	zielona	zielone
Colors	Yellow	żółty	żółta	żółte
Colors	Grey	szary	szara	szare
Colors	Brown	brązowy	brązowa	brązowe
Colors	Orange	pomarańczowy	pomarańczowa	pomarańczowe
Colors	Bright / light	jasny	jasna	jasne
Colors	Dark	ciemny	ciemna	ciemne
Daily Life & State	Tired	zmęczony	zmęczona	zmęczone
Daily Life & State	Happy	szczęśliwy	szczęśliwa	szczęśliwe
Daily Life & State	Sad	smutny	smutna	smutne
Daily Life & State	Healthy	zdrowy	zdrowa	zdrowe
Daily Life & State	Sick / ill	chory	chora	chore
Daily Life & State	Cheap	tani	tania	tanie
Daily Life & State	Expensive	drogi	droga	drogie
Daily Life & State	Easy	łatwy	łatwa	łatwe
Daily Life & State	Difficult / hard	trudny	trudna	trudne
Daily Life & State	Warm	ciepły	ciepła	ciepłe
Daily Life & State	Cold	zimny	zimna	zimne
Daily Life & State	Open	otwarty	otwarta	otwarte
Daily Life & State	Closed	zamknięty	zamknięta	zamknięte
Daily Life & State	Clean	czysty	czysta	czyste
Daily Life & State	Dirty	brudny	brudna	brudne
Daily Life & State	Rich	bogaty	bogata	bogate
Daily Life & State	Poor	biedny	biedna	biedne
Daily Life & State	Fast / quick	szybki	szybka	szybkie
Daily Life & State	Slow	wolny	wolna	wolne
Daily Life & State	Free (unoccupied)	wolny	wolna	wolne
Daily Life & State	Busy / occupied	zajęty	zajęta	zajęte
Time & Frequency	Past / last	zeszły	zeszła	zeszłe
Time & Frequency	Future / next	przyszły	przyszła	przyszłe
Time & Frequency	Daily	codzienny	codzienna	codzienne
Time & Frequency	Current	aktualny	aktualna	aktualne
Nationalities	Polish	polski	polska	polskie
Nationalities	English	angielski	angielska	angielskie
Nationalities	German	niemiecki	niemiecka	niemieckie
Nationalities	American	amerykański	amerykańska	amerykańskie
Nationalities	French	francuski	francuska	francuskie
Nationalities	Spanish	hiszpański	hiszańska	hiszeńskie
Abstract & Mental States	Public	publiczny	publiczna	publiczne
Abstract & Mental States	Private	prywatny	prywatna	prywatne
Abstract & Mental States	Social / civic	społeczny	społeczna	społeczne
Abstract & Mental States	Official / formal	oficjalny	oficjalna	oficjalne
Abstract & Mental States	Legal	legalny	legalna	legalne
Abstract & Mental States	Modern	nowoczesny	nowoczesna	nowoczesne
Abstract & Mental States	Traditional	tradycyjny	tradycyjna	tradycyjne
Intellectual & Personality	Wise / smart	mądry	mądra	mądre
Intellectual & Personality	Stupid	głupi	głupia	głupie
Intellectual & Personality	Polite / well-behaved	grzeczny	grzeczna	grzeczne
Intellectual & Personality	Honest	uczciwy	uczciwa	uczciwe
Intellectual & Personality	Kind / sympathetic	sympatyczny	sympatyczna	sympatyczne
Intellectual & Personality	Funny / witty	zabawny	zabawna	zabawne
Intellectual & Personality	Serious	poważny	poważna	poważne
Sensory & Physical	Tasty / delicious	smaczny	smaczna	smaczne
Sensory & Physical	Fresh	świeży	świeża	świeże
Sensory & Physical	Dry	suchy	sucha	suche
Sensory & Physical	Wet	mokry	mokra	mokre
Sensory & Physical	Sharp / spicy	ostry	ostra	ostre
Sensory & Physical	Sweet	słodki	słodka	słodkie
Sensory & Physical	Bitter	gorzki	gorzka	gorzkie
